PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Qu, YB; Dong, C; Guo, S; Tang, SJ; Wang, H; Tian, C				Qu, Yuben; Dong, Chao; Guo, Song; Tang, Shaojie; Wang, Hai; Tian, Chang			Spectrum-Aware Network Coded Multicast in Mobile Cognitive Radio Ad Hoc Networks	IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY																	Guo, Song/AAZ-4542-2020	Guo, Song/0000-0001-9831-2202													0018-9545	1939-9359				JUN	2017	66	6					5340	5350		10.1109/TVT.2016.2621007	http://dx.doi.org/10.1109/TVT.2016.2621007													WOS:000404034800064
C	Kwiatkowska, M; Thachuk, C		Grumberg, O; Seidl, H; Irlbeck, M		Kwiatkowska, Marta; Thachuk, Chris			Probabilistic Model Checking for Biology	SOFTWARE SYSTEMS SAFETY	Nato Science for Peace and Security Series D-Information and Communication Security				NATO-Advanced-Study-Institute Summer School on Software Systems Safety	JUL 30-AUG 11, 2013	Marktoberdorf, GERMANY	NATO Adv Study Inst										Kwiatkowska, Marta/0000-0001-9022-7599													1874-6268	1879-8292	978-1-61499-385-8; 978-1-61499-384-1				2014	36						165	189		10.3233/978-1-61499-385-8-165	http://dx.doi.org/10.3233/978-1-61499-385-8-165													WOS:000452111600006
J	Qiao, LP; Li, W; Wang, ZC; Zhong, SR; Liu, J				Qiao, Liping; Li, Wei; Wang, Zhechao; Zhong, Shengran; Liu, Jie			Assessment of inter-cavern containment property of underground water-sealed oil storage caverns combining discrete fracture network analysis with graph theory	ENVIRONMENTAL EARTH SCIENCES																															1866-6280	1866-6299				SEP	2022	81	18							442	10.1007/s12665-022-10576-6	http://dx.doi.org/10.1007/s12665-022-10576-6													WOS:000850144400001
J	Xia, ZY; Dong, L; Jiang, FB				Xia, Zeyang; Dong, Li; Jiang, Feibo			A Spiking Reinforcement Trajectory Planning for UAV-Assisted MEC Systems	IEEE ACCESS																		Dong, li/0000-0002-0127-8480													2169-3536						2024	12						54435	54448		10.1109/ACCESS.2024.3389288	http://dx.doi.org/10.1109/ACCESS.2024.3389288													WOS:001205765800001
J	Xue, SQ; Yang, YX; Dang, YM; Chen, W				Xue, Shuqiang; Yang, Yuanxi; Dang, Yamin; Chen, Wu			Dynamic positioning configuration and its first-order optimization	JOURNAL OF GEODESY																	; Chen, Wu/B-5326-2011	Yang, Yuanxi/0000-0002-5553-948X; Chen, Wu/0000-0002-1787-5191													0949-7714	1432-1394				FEB	2014	88	2					127	143		10.1007/s00190-013-0683-7	http://dx.doi.org/10.1007/s00190-013-0683-7													WOS:000330988800003
J	Yang, XS; Cao, JD; Lu, JQ				Yang, Xinsong; Cao, Jinde; Lu, Jianquan			Synchronization of Markovian Coupled Neural Networks with Nonidentical Node-Delays and Random Coupling Strengths	IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS																	Cao, Jinde/D-1482-2012; Jinde, Cao/L-2658-2017; Yang, Xinsong/O-1510-2016	Cao, Jinde/0000-0003-3133-7119; Yang, Xinsong/0000-0003-3599-5020													2162-237X	2162-2388				JAN	2012	23	1					60	71		10.1109/TNNLS.2011.2177671	http://dx.doi.org/10.1109/TNNLS.2011.2177671								24808456					WOS:000302703700006
J	Alimoradi, M; Azgomi, H; Asghari, A				Alimoradi, Mahmoud; Azgomi, Hossein; Asghari, Ali			Trees Social Relations Optimization Algorithm: A new Swarm-Based metaheuristic technique to solve continuous and discrete optimization problems	MATHEMATICS AND COMPUTERS IN SIMULATION																	asghari, ali/ABG-9725-2021; Alimoradi, Mahmoud/GQI-4434-2022	asghari, ali/0000-0001-9508-7433; Alimoradi, Mahmoud/0000-0001-6167-439X; Azgomi, Hossein/0000-0001-7974-1845													0378-4754	1872-7166				APR	2022	194						629	664		10.1016/j.matcom.2021.12.010	http://dx.doi.org/10.1016/j.matcom.2021.12.010		JAN 2022											WOS:000793182400017
J	Correia, I; Melo, T				Correia, Isabel; Melo, Teresa			Multi-period capacitated facility location under delayed demand satisfaction	EUROPEAN JOURNAL OF OPERATIONAL RESEARCH																	Correia, Isabel C S/G-2476-2016	CORREIA, ISABEL/0000-0002-1778-0360; Melo, Teresa/0000-0003-1412-0807													0377-2217	1872-6860				DEC 16	2016	255	3					729	746		10.1016/j.ejor.2016.06.039	http://dx.doi.org/10.1016/j.ejor.2016.06.039													WOS:000381530000005
J	Hu, WF; Shao, JY; Jiao, Q; Wang, CX; Cheng, J; Liu, ZY; Tan, JR				Hu, Weifei; Shao, Jinyi; Jiao, Qing; Wang, Chuxuan; Cheng, Jin; Liu, Zhenyu; Tan, Jianrong			A new differentiable architecture search method for optimizing convolutional neural networks in the digital twin of intelligent robotic grasping	JOURNAL OF INTELLIGENT MANUFACTURING																	liu, zhenyu/ISU-3876-2023	liu, zhenyu/0000-0002-2085-2628													0956-5515	1572-8145				OCT	2023	34	7					2943	2961		10.1007/s10845-022-01971-8	http://dx.doi.org/10.1007/s10845-022-01971-8		JUN 2022											WOS:000815429700001
J	Hong, QG; Kraus, J; Lymbery, M; Philo, F				Hong, Qingguo; Kraus, Johannes; Lymbery, Maria; Philo, Fadi			Conservative discretizations and parameter-robust preconditioners for Biot and multiple-network flux-based poroelasticity models	NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS																	Hong, Qingguo/AAZ-7863-2020; Kraus, Johannes/AAD-6480-2021	Hong, Qingguo/0000-0003-2420-9653; Kraus, Johannes/0000-0003-2261-599X													1070-5325	1099-1506				AUG	2019	26	4							e2242	10.1002/nla.2242	http://dx.doi.org/10.1002/nla.2242													WOS:000474224800010
J	Zhu, YR; Zheng, YS; Wang, L				Zhu, Yunru; Zheng, Yuanshi; Wang, Long			Quantised consensus of multi-agent systems with nonlinear dynamics	INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE																	wang, long/IZE-1764-2023; Zheng, Yuanshi/D-6905-2012; Gao, Y./GWZ-3665-2022; long, wang/KGM-0871-2024; Wang, Long/A-7798-2010; zheng, yuan/JCN-7781-2023	Wang, Long/0000-0001-5600-8157; 													0020-7721	1464-5319				AUG 18	2015	46	11					2061	2071		10.1080/00207721.2013.849770	http://dx.doi.org/10.1080/00207721.2013.849770													WOS:000353511100013
J	Hassan, SS; Kim, D; Tun, YK; Tran, NH; Saad, W; Hong, CS				Hassan, Sheikh Salman; Kim, Do Hyeon; Tun, Yan Kyaw; Tran, Nguyen H. H.; Saad, Walid; Hong, Choong Seon			Seamless and Energy-Efficient Maritime Coverage in Coordinated 6G Space-Air-Sea Non-Terrestrial Networks	IEEE INTERNET OF THINGS JOURNAL																	Hassan, Ph.D., Sheikh Salman/AAV-6398-2020; Tun, Yan Kyaw/AAH-8832-2021; Tran, Nguyen H./ABC-5127-2020; Hong, Choong Seon/ABF-5527-2020; Saad, Walid/C-7978-2018	Hassan, Ph.D., Sheikh Salman/0000-0002-5317-6494; Tun, Yan Kyaw/0000-0002-8557-0082; Tran, Nguyen H./0000-0001-7323-9213; Kim, Do Hyeon/0000-0002-5224-1506; Saad, Walid/0000-0003-2247-2458; Hong, Choong Seon/0000-0003-3484-7333													2327-4662					MAR 15	2023	10	6					4749	4769		10.1109/JIOT.2022.3220631	http://dx.doi.org/10.1109/JIOT.2022.3220631													WOS:000965207500001
J	Silva, M; Júlvez, J; Mahulea, C; Vázquez, CR				Silva, Manuel; Julvez, Jorge; Mahulea, Cristian; Renato Vazquez, C.			On fluidization of discrete event models: observation and control of continuous Petri nets	DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS																	Vazquez, Carlos R/E-3760-2016; Mahulea, Cristian/F-7433-2012; Vazquez, Carlos Renato/L-6402-2019; /B-4216-2019	Vazquez, Carlos Renato/0000-0003-4191-4143; Silva, Manuel/0000-0001-8631-8770; Mahulea, Cristian/0000-0003-0056-2225; /0000-0002-7093-228X													0924-6703	1573-7594				DEC	2011	21	4	1				427	497		10.1007/s10626-011-0116-9	http://dx.doi.org/10.1007/s10626-011-0116-9													WOS:000295415900002
J	Martins, CL; Melo, MT; Pato, MV				Martins, C. L.; Melo, M. T.; Pato, M., V			Redesigning a food bank supply chain network in a triple bottom line context	INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS																	Martins, Carlos/KFA-9871-2024; Pato, Margarida/O-3180-2013	Melo, Teresa/0000-0003-1412-0807; Pato, Margarida/0000-0003-2277-5918; Martins, Carlos/0000-0002-8361-1274													0925-5273	1873-7579				AUG	2019	214						234	247		10.1016/j.ijpe.2018.11.011	http://dx.doi.org/10.1016/j.ijpe.2018.11.011													WOS:000474324300018
J	Liu, WL; Gong, YJ; Chen, WN; Liu, ZQ; Wang, H; Zhang, J				Liu, Wei-Li; Gong, Yue-Jiao; Chen, Wei-Neng; Liu, Zhiqin; Wang, Hua; Zhang, Jun			Coordinated Charging Scheduling of Electric Vehicles: A Mixed-Variable Differential Evolution Approach	IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS																	Wang, Hua/I-5746-2019; Zhang, Jun/E-9359-2011; Liu, Wei-Li/HPE-8459-2023	Wang, Hua/0000-0002-8465-0996; Zhang, Jun/0000-0001-7835-9871; Liu, Wei-Li/0000-0003-0725-3759													1524-9050	1558-0016				DEC	2020	21	12					5094	5109		10.1109/TITS.2019.2948596	http://dx.doi.org/10.1109/TITS.2019.2948596													WOS:000594634400014
S	Sanz, A; García-Nicolás, JI; Urriza, I		Glesner, M; Zipf, P; Renovell, M		Sanz, A; García-Nicolás, JI; Urriza, I			Implementing converters in FPLD	FIELD-PROGRAMMABLE LOGIC AND APPLICATIONS, PROCEEDINGS: RECONFIGURABLE COMPUTING IS GOING MAINSTREAM	Lecture Notes in Computer Science				12th International Conference on Field-Programmable Logic and Applications	SEP 02-04, 2002	MONTPELLIER, FRANCE	Lab Informat Robot Micoelectr Montpellier									Sánchez, Arturo/JAC-4015-2023; Sánchez, Arturo/L-3622-2019; Sanchez, Arturo/AAD-4335-2020; Urriza Parroque, Isidro/L-1565-2015	Sánchez, Arturo/0000-0002-4946-1559; Sánchez, Arturo/0000-0002-4946-1559; Urriza Parroque, Isidro/0000-0002-6881-4209													0302-9743	1611-3349	3-540-44108-5				2002	2438						966	975																WOS:000178978700099
J	Shen, KM; Yu, W				Shen, Kaiming; Yu, Wei			Fractional Programming for Communication Systems-Part I: Power Control and Beamforming	IEEE TRANSACTIONS ON SIGNAL PROCESSING																	shen, kaiming/HLH-3690-2023; YU, Wei/HTP-9667-2023; Yu, Wei/GZL-3831-2022	Yu, Wei/0000-0002-7453-422X													1053-587X	1941-0476				MAY 15	2018	66	10					2616	2630		10.1109/TSP.2018.2812733	http://dx.doi.org/10.1109/TSP.2018.2812733													WOS:000430728500008
C	Anantharam, V		Glasserman, P; Sigman, K; Yao, DD		Anantharam, V			Networks of queues with long-range dependent traffic streams	STOCHASTIC NETWORKS: STABILITY AND RARE EVENTS	LECTURE NOTES IN STATISTICS				Workshop on Stochastic Networks - Stability and Rare Events	NOV 03-04, 1995	COLUMBIA UNIV, NEW YORK, NY	Columbia Univ, Ctr Appl Probabil	COLUMBIA UNIV																								0-387-94828-7				1996	117						237	256																WOS:A1996BG72U00012
J	Jiménez-Romero, J; Azapagic, A; Smith, R				Jimenez-Romero, Julia; Azapagic, Adisa; Smith, Robin			Style: A new optimization model for Synthesis of uTility sYstems with steam LEvel placement	COMPUTERS & CHEMICAL ENGINEERING																															0098-1354	1873-4375				FEB	2023	170								108060	10.1016/j.compchemeng.2022.108060	http://dx.doi.org/10.1016/j.compchemeng.2022.108060		JAN 2023											WOS:000921607300001
J	Liu, XG; Li, PY; Meng, FD; Zhou, H; Zhong, HS; Zhou, J; Mou, LL; Song, S				Liu, Xianggen; Li, Pengyong; Meng, Fandong; Zhou, Hao; Zhong, Huasong; Zhou, Jie; Mou, Lili; Song, Sen			Simulated annealing for optimization of graphs and sequences	NEUROCOMPUTING																															0925-2312	1872-8286				NOV 20	2021	465						310	324		10.1016/j.neucom.2021.09.003	http://dx.doi.org/10.1016/j.neucom.2021.09.003		SEP 2021											WOS:000704376900002
J	Xu, DW; Zhang, B; Qiu, QW; Li, HJ; Guo, HF; Wang, BJ				Xu, Dongwei; Zhang, Biao; Qiu, Qingwei; Li, Haijian; Guo, Haifeng; Wang, Baojie			Graph-based multi agent reinforcement learning for on-ramp merging in mixed traffic	APPLIED INTELLIGENCE																															0924-669X	1573-7497				APR	2024	54	8					6400	6414		10.1007/s10489-024-05478-y	http://dx.doi.org/10.1007/s10489-024-05478-y		MAY 2024											WOS:001220943800001
C	Pegler, D; Yeadon, N; Hutchison, D; Shepherd, D		Freeman, M; Jardetzky, P; Vin, HM		Pegler, D; Yeadon, N; Hutchison, D; Shepherd, D			Incorporating scalability into networked multimedia storage systems	MULTIMEDIA COMPUTING AND NETWORKING 1997	PROCEEDINGS OF THE SOCIETY OF PHOTO-OPTICAL INSTRUMENTATION ENGINEERS (SPIE)				1997 Conference on Multimedia Computing and Networking	FEB 10-11, 1997	SAN JOSE, CA	Soc Imaging Sci & Technol, Soc Photo Opt Instrumentat Engineers, Assoc Comp Machinery, SIG Multimedia																									0-8194-2431-5				1997	3020						118	134		10.1117/12.264286	http://dx.doi.org/10.1117/12.264286													WOS:A1997BH15B00010
J	Rossignol, L; Scorletti, G; Fromion, V				Rossignol, L; Scorletti, G; Fromion, V			Filter design: a finite dimensional convex optimization approach	INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL																															1049-8923					DEC 15	2003	13	14					1317	1335		10.1002/rnc.854	http://dx.doi.org/10.1002/rnc.854													WOS:000187234400005
J	Varekar, V; Karmakar, S; Jha, R				Varekar, Vikas; Karmakar, Subhankar; Jha, Ramakar			Seasonal rationalization of river water quality sampling locations: a comparative study of the modified Sanders and multivariate statistical approaches	ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH																	Jha, Ramakar/AAB-8418-2019	Karmakar, Subhankar/0000-0002-1132-1403; Jha, Ramakar/0000-0003-0229-771X													0944-1344	1614-7499				FEB	2016	23	3					2308	2328		10.1007/s11356-015-5349-y	http://dx.doi.org/10.1007/s11356-015-5349-y								26408122					WOS:000368376800032
J	Yang, J; Oh, SR; Liu, W				Yang, Jie; Oh, Sun-Ryung; Liu, Wei			Optimization of shell-and-tube heat exchangers using a general design approach motivated by constructal theory	INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER																	Wang, zijun/JNS-5435-2023														0017-9310	1879-2189				OCT	2014	77						1144	1154		10.1016/j.ijheatmasstransfer.2014.06.046	http://dx.doi.org/10.1016/j.ijheatmasstransfer.2014.06.046													WOS:000340302400105
J	Wei, LN; Chen, WH; Luo, SX; Huang, GJ				Wei, Linna; Chen, Wu-Hua; Luo, Shixian; Huang, Ganji			Impulsive average-consensus of multi-agent systems with time-delays	JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS																	Chen, Wu-Hua/G-7637-2011	wei, linna/0000-0003-2951-0912													0016-0032	1879-2693				JAN	2022	359	2					1544	1568		10.1016/j.jfranklin.2021.11.030	http://dx.doi.org/10.1016/j.jfranklin.2021.11.030		JAN 2022											WOS:000800550300018
J	Fair, DA; Schlaggar, BL; Cohen, AL; Miezin, FM; Dosenbach, NUF; Wenger, KK; Fox, MD; Snyder, AZ; Raichle, ME; Petersen, SE				Fair, Damien A.; Schlaggar, Bradley L.; Cohen, Alexander L.; Miezin, Francis M.; Dosenbach, Nico U. F.; Wenger, Kristin K.; Fox, Michael D.; Snyder, Abraham Z.; Raichle, Marcus E.; Petersen, Steven E.			A method for using blocked and event-related fMRI data to study "resting state" functional connectivity	NEUROIMAGE																	Petersen, Steve/ABF-1368-2020; anand, amit/A-7222-2009; Fox, Michael D./AAZ-3928-2020; Cohen, Alexander Li/H-6594-2019; Cohen, Alexander/A-6865-2009; Schlaggar, Bradley/AAZ-4153-2020	Fox, Michael D./0000-0001-8848-6399; Cohen, Alexander Li/0000-0001-6557-5866; Cohen, Alexander/0000-0001-6557-5866; 													1053-8119					MAR	2007	35	1					396	405		10.1016/j.neuroimage.2006.11.051	http://dx.doi.org/10.1016/j.neuroimage.2006.11.051								17239622					WOS:000244894000038
J	Ghavifekr, AA; Ghiasi, AR; Badamchizadeh, MA; Hashemzadeh, F; Fiorini, P				Ghavifekr, Amir A.; Ghiasi, Amir R.; Badamchizadeh, Mohammad A.; Hashemzadeh, Farzad; Fiorini, Paolo			Stability analysis of the linear discrete teleoperation systems with stochastic sampling and data dropout	EUROPEAN JOURNAL OF CONTROL																	Ghavifekr, Amir Aminzadeh/T-8182-2019; Hashemzadeh, Farzad/AFV-5308-2022; Badamchizadeh, Mohammad Ali/A-3061-2016	Ghavifekr, Amir Aminzadeh/0000-0002-0345-4150; Hashemzadeh, Farzad/0000-0002-8667-1176; Badamchizadeh, Mohammad Ali/0000-0002-9999-1152													0947-3580	1435-5671				MAY	2018	41						63	71		10.1016/j.ejcon.2018.01.003	http://dx.doi.org/10.1016/j.ejcon.2018.01.003													WOS:000436221700007
J	Dash, SK; Mishra, S				Dash, Subrat Kumar; Mishra, Sivkumar			Continuous-Discrete Student Psychology-Based Optimization Algorithm for Optimal Planning of Distributed Generators and Distribution Static Compensators in Power Distribution Network	ELECTRICA																															2619-9831					2024 APR 8	2024										10.5152/electrica.2024.23115	http://dx.doi.org/10.5152/electrica.2024.23115		APR 2024											WOS:001203719600001
J	Wang, J; Zhuang, GM; Xia, JW; Chen, GL				Wang, Jie; Zhuang, Guangming; Xia, Jianwei; Chen, Guoliang			Generalized non-fragile asynchronous mixed <i>H</i><sub>∞</sub> and passive output tracking control for neutral Markov jump systems	NONLINEAR DYNAMICS																	Xia, Jianwei/ABD-8057-2021; 夏, 建伟/ABE-2670-2021	夏, 建伟/0000-0002-5330-9349; , guangming zhuang/0000-0002-6552-4636													0924-090X	1573-269X				SEP	2021	106	1					523	541		10.1007/s11071-021-06829-x	http://dx.doi.org/10.1007/s11071-021-06829-x		AUG 2021											WOS:000690355800003
J	Fercoq, O; Akian, M; Bouhtou, M; Gaubert, S				Fercoq, Olivier; Akian, Marianne; Bouhtou, Mustapha; Gaubert, Stephane			Ergodic Control and Polyhedral Approaches to PageRank Optimization	IEEE TRANSACTIONS ON AUTOMATIC CONTROL																															0018-9286	1558-2523				JAN	2013	58	1					134	148		10.1109/TAC.2012.2226103	http://dx.doi.org/10.1109/TAC.2012.2226103													WOS:000312898300011
J	Pecci, F; Abraham, E; Stoianov, I				Pecci, Filippo; Abraham, Edo; Stoianov, Ivan			Scalable Pareto set generation for multiobjective co-design problems in water distribution networks: a continuous relaxation approach	STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION																	Delft, TU/HHM-3694-2022; Pecci, Filippo/AAX-8247-2021; Abraham, Edo/AAG-5788-2019	Delft, TU/0000-0003-0989-5456; Pecci, Filippo/0000-0003-3200-0892; Abraham, Edo/0000-0003-0989-5456													1615-147X	1615-1488				MAR	2017	55	3					857	869		10.1007/s00158-016-1537-8	http://dx.doi.org/10.1007/s00158-016-1537-8													WOS:000398114200008
J	Yang, CC; Shieh, MD				Yang, Chih-Chieh; Shieh, Meng-Dar			A support vector regression based prediction model of affective responses for product form design	COMPUTERS & INDUSTRIAL ENGINEERING																	Yang, Chih-Chieh/D-2498-2010														0360-8352	1879-0550				NOV	2010	59	4					682	689		10.1016/j.cie.2010.07.019	http://dx.doi.org/10.1016/j.cie.2010.07.019													WOS:000284747000023
J	Hati, S; Duddu, AS; Jolly, MK				Hati, Souvadra; Duddu, Atchuta Srinivas; Jolly, Mohit Kumar			Operating principles of circular toggle polygons	PHYSICAL BIOLOGY																	Jolly, Mohit Kumar/A-1826-2014	Jolly, Mohit Kumar/0000-0002-6631-2109; Duddu, Atchuta Srinivas/0000-0003-2951-311X													1478-3967	1478-3975				JUL	2021	18	4							046003	10.1088/1478-3975/abef79	http://dx.doi.org/10.1088/1478-3975/abef79								33730700					WOS:000655572800001
C	Zhang, YH; Ren, HS; Ye, JX; Gao, XT; Wang, Y; Ye, KJ; Xu, CZ			IEEE COMP SOC	Zhang, Yuhang; Ren, Hongshuai; Ye, Jiexia; Gao, Xitong; Wang, Yang; Ye, Kejiang; Xu, Cheng-Zhong			AOAM: Automatic Optimization of Adjacency Matrix for Graph Convolutional Network	2020 25TH INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION (ICPR)	International Conference on Pattern Recognition				25th International Conference on Pattern Recognition (ICPR)	JAN 10-15, 2021	ELECTR NETWORK	Int Assoc Pattern Recognit, IEEE Comp Soc, Italian Assoc Comp Vis Pattern Recognit & Machine Learning									XU, CHENGZHONG/AAX-1707-2020; zhang, yuhang/ISS-5685-2023; Gao, Xitong/HHR-8568-2022	XU, CHENGZHONG/0000-0001-9480-0356; Gao, Xitong/0000-0002-2063-2051													1051-4651		978-1-7281-8808-9				2021							5130	5136		10.1109/ICPR48806.2021.9412046	http://dx.doi.org/10.1109/ICPR48806.2021.9412046													WOS:000678409205034
J	Aljassar, AH; Ali, MA; Al-Saleh, OI				Aljassar, Ahmad H.; Ali, Mohammed Ahmed; Al-Saleh, Omar I.			Traffic factors for the design of roadway geometrics and pavement structures in Kuwait	KUWAIT JOURNAL OF SCIENCE & ENGINEERING																															1024-8684					DEC	2007	34	2B					17	33																WOS:000252609300002
J	Caruntu, CF; Lazar, M; Gielen, RH; van den Bosch, PPJ; Di Cairano, S				Caruntu, Constantin F.; Lazar, Mircea; Gielen, Rob H.; van den Bosch, P. P. J.; Di Cairano, Stefano			Lyapunov based predictive control of vehicle drivetrains over CAN	CONTROL ENGINEERING PRACTICE					18th IFAC World Congress	AUG 28-SEP 02, 2011	Milan, ITALY	IFAC									Lazar, Mircea/B-9644-2017; Caruntu, Constantin Florin C./C-3611-2012	Caruntu, Constantin Florin/0000-0002-4026-2852													0967-0661	1873-6939				DEC	2013	21	12			SI		1884	1898		10.1016/j.conengprac.2012.05.012	http://dx.doi.org/10.1016/j.conengprac.2012.05.012													WOS:000329017200024
J	Creaco, E; Pezzinga, G				Creaco, E.; Pezzinga, G.			Embedding linear programming in multi objective genetic algorithms for reducing the size of the search space with application to leakage minimization in water distribution networks	ENVIRONMENTAL MODELLING & SOFTWARE																	Creaco, Enrico/AAN-6153-2020; Pezzinga, Giuseppe/M-8604-2015	Creaco, Enrico/0000-0003-4422-2417; Pezzinga, Giuseppe/0000-0002-6334-9010													1364-8152	1873-6726				JUL	2015	69						308	318		10.1016/j.envsoft.2014.10.013	http://dx.doi.org/10.1016/j.envsoft.2014.10.013													WOS:000356548800026
J	Müller, TM; Sachs, M; Breuer, JHP; Pelz, PF				Mueller, Tim M.; Sachs, Marlene; Breuer, Julius H. P.; Pelz, Peter F.			Planning of distributed ventilation systems for energy-efficient buildings by discrete optimisation	JOURNAL OF BUILDING ENGINEERING																		Breuer, Julius/0000-0002-6226-7208														2352-7102				JUN 1	2023	68								106205	10.1016/j.jobe.2023.106205	http://dx.doi.org/10.1016/j.jobe.2023.106205		MAR 2023											WOS:001043356000001
J	Polynikis, A; Hogan, SJ; di Bernardo, M				Polynikis, A.; Hogan, S. J.; di Bernardo, M.			Comparing different ODE modelling approaches for gene regulatory networks	JOURNAL OF THEORETICAL BIOLOGY																	di Bernardo, Mario/I-2805-2012; di Bernardo, Mario/AAL-9311-2021; Hogan, Stephen/P-6368-2018	di Bernardo, Mario/0000-0002-2171-4745; Hogan, Stephen/0000-0001-6012-6527													0022-5193	1095-8541				DEC 21	2009	261	4					511	530		10.1016/j.jtbi.2009.07.040	http://dx.doi.org/10.1016/j.jtbi.2009.07.040								19665034					WOS:000274799100002
J	Sun, CH; Wang, X; Zheng, YH				Sun, Chenhao; Wang, Xin; Zheng, Yihui			An ensemble system to predict the spatiotemporal distribution of energy security weaknesses in transmission networks	APPLIED ENERGY																	chen, bin/KBQ-8114-2024; Zheng, Yihui/JMA-9712-2023	chen, bin/0000-0002-3398-1314; SUN, CHENHAO/0000-0002-1661-4555													0306-2619	1872-9118				JAN 15	2020	258								114062	10.1016/j.apenergy.2019.114062	http://dx.doi.org/10.1016/j.apenergy.2019.114062													WOS:000506575100008
J	Lu, DK; Li, XH; Liu, J; Zeng, GH				Lu, Dunke; Li, Xiaohang; Liu, Jin; Zeng, Guohui			Fault Estimation and Fault-Tolerant Control of Markovian Jump System With Mixed Mode-Dependent Time-Varying Delays Via the Adaptive Observer Approach	JOURNAL OF DYNAMIC SYSTEMS MEASUREMENT AND CONTROL-TRANSACTIONS OF THE ASME																	Liu, Jin/KCY-4678-2024														0022-0434	1528-9028				MAR	2017	139	3							031002	10.1115/1.4034840	http://dx.doi.org/10.1115/1.4034840													WOS:000395120300002
J	Mehr, N; Horowitz, R				Mehr, Negar; Horowitz, Roberto			How Will the Presence of Autonomous Vehicles Affect the Equilibrium State of Traffic Networks?	IEEE TRANSACTIONS ON CONTROL OF NETWORK SYSTEMS																		Horowitz, Roberto/0000-0003-2807-0054													2325-5870	2372-2533				MAR	2020	7	1					96	105		10.1109/TCNS.2019.2918682	http://dx.doi.org/10.1109/TCNS.2019.2918682													WOS:000521969000010
J	Khoshahval, F; Zolfaghari, A; Minuchehr, H; Sadighi, M; Norouzi, A				Khoshahval, F.; Zolfaghari, A.; Minuchehr, H.; Sadighi, M.; Norouzi, A.			PWR fuel management optimization using continuous particle swarm intelligence	ANNALS OF NUCLEAR ENERGY																		khoshahval, farrokh/0000-0001-6325-1614; Minuchehr, Abdolhamid/0000-0002-9330-5692													0306-4549					OCT	2010	37	10					1263	1271		10.1016/j.anucene.2010.05.023	http://dx.doi.org/10.1016/j.anucene.2010.05.023													WOS:000280938500001
J	Kim, MK; Lee, S; Yoon, I; Kook, G; Jung, YS; Bawazir, SSM; Stefanini, C; Lee, HJ				Kim, Mi Kyung; Lee, Sungwoo; Yoon, Inug; Kook, Geon; Jung, Yeon Su; Bawazir, Sarah S. M.; Stefanini, Cesare; Lee, Hyunjoo J.			Polypyrrole/Agarose Hydrogel-Based Bladder Volume Sensor with a Resistor Ladder Structure	SENSORS																	Bawazir, Sarah/AAB-8133-2019; Lee, Hyunjoo Jenny/G-5020-2015; Lee, Hyunjoo/IUO-2078-2023	Bawazir, Sarah/0000-0001-9626-8738; Lee, Hyunjoo Jenny/0000-0001-9963-2515; Stefanini, Cesare/0000-0003-0989-041X														1424-8220				JUL	2018	18	7							2288	10.3390/s18072288	http://dx.doi.org/10.3390/s18072288								30011944					WOS:000441334300310
J	Dippenaar, V; Majozi, T				Dippenaar, Victor; Majozi, Thokozani			Integrated Optimization Framework for the Design and Scheduling of Batch Cooling Water Networks	INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH																		Dippenaar, Victor/0000-0003-1255-9154; Majozi, Thokozani/0000-0003-0864-2393													0888-5885					JUN 16	2021	60	23					8460	8474		10.1021/acs.iecr.1c00812	http://dx.doi.org/10.1021/acs.iecr.1c00812		JUN 2021											WOS:000664302000016
J	Liu, XK; Zhang, JF; Wang, JM				Liu, Xiao-Kang; Zhang, Ji-Feng; Wang, Jimin			Differentially private consensus algorithm for continuous-time heterogeneous multi-agent systems	AUTOMATICA																	Qi, Chang/GQH-5347-2022														0005-1098	1873-2836				DEC	2020	122								109283	10.1016/j.automatica.2020.109283	http://dx.doi.org/10.1016/j.automatica.2020.109283													WOS:000598166000002
