PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Ye, WW; Chen, LC; Sun, JQ				Ye, Wenwei; Chen, Lincong; Sun, Jian-Qiao			Semi-analytical solutions for stationary response of a stay cable under combined Gaussian and Poisson excitations	JOURNAL OF SOUND AND VIBRATION																															0022-460X	1095-8568				DEC 8	2023	566								117923	10.1016/j.jsv.2023.117923	http://dx.doi.org/10.1016/j.jsv.2023.117923		JUL 2023											WOS:001038141500001
J	Zhang, H; Liu, HS; Zhao, SZ; Liang, SD				Zhang, Hu; Liu, Huasheng; Zhao, Shuzhi; Liang, Shidong			Optimising the design of a limited-stop bus service for a branching network	PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MUNICIPAL ENGINEER																	Zhang, Hu/P-7438-2019	Zhang, Hu/0000-0002-2254-264X													0965-0903	1751-7699				DEC	2017	170	4					230	238		10.1680/jmuen.16.00038	http://dx.doi.org/10.1680/jmuen.16.00038													WOS:000416129900005
J	Hu, H; Chen, CF; Liu, MY; Fu, YH; Zhao, J; Feng, ZY				Hu, Hui; Chen, Chaofeng; Liu, Mengyuan; Fu, Yihan; Zhao, Jiao; Feng, Zhiyu			Two-Stage emergency material scheduling based on benders decomposition considering traffic congestion after a disaster	COMPUTERS & INDUSTRIAL ENGINEERING																	HU, HUI/JDW-0629-2023; Liu, Mengyuan/HZL-2276-2023														0360-8352	1879-0550				DEC	2022	174								108751	10.1016/j.cie.2022.108751	http://dx.doi.org/10.1016/j.cie.2022.108751		NOV 2022											WOS:000899481800009
J	Tymoshchuk, PV; Wunsch, DC				Tymoshchuk, Pavlo, V; Wunsch, Donald C., II			Design of a K-Winners-Take-All Model With a Binary Spike Train	IEEE TRANSACTIONS ON CYBERNETICS																	Tymoshchuk, Pavlo/R-2805-2017	Tymoshchuk, Pavlo/0000-0001-8534-1856													2168-2267	2168-2275				AUG	2019	49	8					3131	3140		10.1109/TCYB.2018.2839691	http://dx.doi.org/10.1109/TCYB.2018.2839691								30040665					WOS:000467561700026
J	Jones, BH; Lodge, TP				Jones, Brad H.; Lodge, Timothy P.			Hierarchically Porous Silica Prepared from Ionic Liquid and Polymeric Bicontinuous Microemulsion Templates	CHEMISTRY OF MATERIALS																		Lodge, Timothy/0000-0001-5916-8834													0897-4756	1520-5002				NOV 8	2011	23	21					4824	4831		10.1021/cm202170g	http://dx.doi.org/10.1021/cm202170g													WOS:000296304100026
J	Mosa, M; Balog, RS; Abu-Rub, H				Mosa, Mostafa; Balog, Robert S.; Abu-Rub, Haitham			High-Performance Predictive Control of Quasi-Impedance Source Inverter	IEEE TRANSACTIONS ON POWER ELECTRONICS																	Abu-Rub, Haitham/AFO-9012-2022	Abu-Rub, Haitham/0000-0001-8687-3942													0885-8993	1941-0107				APR	2017	32	4					3251	3262		10.1109/TPEL.2016.2531989	http://dx.doi.org/10.1109/TPEL.2016.2531989													WOS:000395480400066
J	Aupy, G; Benoit, A; Journault, M; Robert, Y				Aupy, Guillaume; Benoit, Anne; Journault, Matthieu; Robert, Yves			Power-aware replica placement in tree networks with multiple servers per client	SUSTAINABLE COMPUTING-INFORMATICS & SYSTEMS																		Robert, Yves/0000-0003-2361-055X; Benoit, Anne/0000-0003-2910-3540													2210-5379	2210-5387				MAR	2015	5						41	53		10.1016/j.suscom.2014.08.013	http://dx.doi.org/10.1016/j.suscom.2014.08.013													WOS:000368600800004
J	Kellar, GM; Polak, GG; Zhang, XH				Kellar, Gregory M.; Polak, George G.; Zhang, Xinhui			Synchronization, cross-docking, and decoupling in supply chain networks	INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH																	PENG, CHENG/KCL-2506-2024														0020-7543	1366-588X				MAY 2	2016	54	9					2585	2599		10.1080/00207543.2015.1107195	http://dx.doi.org/10.1080/00207543.2015.1107195													WOS:000373632300005
J	Zhou, B; Huang, B; Su, YM; Zhu, C				Zhou, Bin; Huang, Bing; Su, Yumin; Zhu, Cheng			Interleaved Periodic Event-Triggered Communications-Based Distributed Formation Control for Cooperative Unmanned Surface Vessels	IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS																															2162-237X	2162-2388				2024 JAN 19	2024										10.1109/TNNLS.2024.3351218	http://dx.doi.org/10.1109/TNNLS.2024.3351218		JAN 2024						38241097					WOS:001166846100001
C	Sapuppo, F; Cantelli, G; Fortuna, L; Arena, P; Bucolo, M		Arena, P; RodriguezVazquez, A; LinanCembrano, G		Sapuppo, F.; Cantelli, G.; Fortuna, L.; Arena, P.; Bucolo, M.			Real-time monitoring system for microfluidics - art. no. 65920Q	Bioengineered and Bioinspired Systems III	PROCEEDINGS OF THE SOCIETY OF PHOTO-OPTICAL INSTRUMENTATION ENGINEERS (SPIE)				Conference on Bioengineered and Bioinspired Systems III	MAY 02-04, 2007	Maspalomas, SPAIN	SPIE Europe									Sapuppo, Francesca/IAM-1465-2023	Sapuppo, Francesca/0000-0001-8772-2759; BUCOLO, Maide Angela Rita/0000-0003-4867-0620													0277-786X		978-0-8194-6720-1				2007	6592						Q5920	Q5920	65920Q	10.1117/12.721902	http://dx.doi.org/10.1117/12.721902													WOS:000250170700026
J	Wang, T; Deng, YX; Yang, Z; Wang, Y; Cai, HB				Wang, Ting; Deng, Yuxiang; Yang, Zhao; Wang, Yang; Cai, Haibin			Parameterized Deep Reinforcement Learning With Hybrid Action Space for Edge Task Offloading	IEEE INTERNET OF THINGS JOURNAL																		Wang, Ting/0000-0002-7223-8849													2327-4662					MAR 15	2024	11	6					10754	10767		10.1109/JIOT.2023.3327121	http://dx.doi.org/10.1109/JIOT.2023.3327121													WOS:001181566200071
